Index,Date,Average Price,Type,Year,Region,Total Volume
37,12/04/2015,1.15,conventional,2015,BaltimoreWashington,837629.62
38,5/04/2015,1.29,conventional,2015,BaltimoreWashington,688065.45
39,29/03/2015,1.25,conventional,2015,BaltimoreWashington,663677.32
40,22/03/2015,1.1,conventional,2015,BaltimoreWashington,808897.21
41,15/03/2015,1.24,conventional,2015,BaltimoreWashington,693698.13
42,8/03/2015,1.26,conventional,2015,BaltimoreWashington,657745.9
43,1/03/2015,1.16,conventional,2015,BaltimoreWashington,770115.24
44,22/02/2015,1.11,conventional,2015,BaltimoreWashington,749845.79
45,15/02/2015,1.25,conventional,2015,BaltimoreWashington,637319.34
46,8/02/2015,1.09,conventional,2015,BaltimoreWashington,844931.21
47,1/02/2015,1.06,conventional,2015,BaltimoreWashington,1007418.76
48,25/01/2015,1.2,conventional,2015,BaltimoreWashington,692934.46
49,18/01/2015,1.23,conventional,2015,BaltimoreWashington,657741.34
50,11/01/2015,1.17,conventional,2015,BaltimoreWashington,670231.94
51,4/01/2015,1.08,conventional,2015,BaltimoreWashington,788025.06
0,27/12/2015,0.97,conventional,2015,Boise,62909.69
1,20/12/2015,1.03,conventional,2015,Boise,57504.05
2,13/12/2015,0.99,conventional,2015,Boise,58461.05
3,6/12/2015,0.71,conventional,2015,Boise,95295.34
4,29/11/2015,1.06,conventional,2015,Boise,49069.13
5,22/11/2015,1.09,conventional,2015,Boise,52875.58
6,15/11/2015,1.01,conventional,2015,Boise,68648.22
7,8/11/2015,1.11,conventional,2015,Boise,55847.79
8,1/11/2015,1.14,conventional,2015,Boise,53585.51
9,25/10/2015,1.11,conventional,2015,Boise,59874.45
10,18/10/2015,1.16,conventional,2015,Boise,54191.14
11,11/10/2015,0.94,conventional,2015,Boise,80904.19
12,4/10/2015,1.12,conventional,2015,Boise,59496.33
13,27/09/2015,0.99,conventional,2015,Boise,64187.8
14,20/09/2015,1.03,conventional,2015,Boise,73952.9
15,13/09/2015,1.08,conventional,2015,Boise,64208.84
16,6/09/2015,1.16,conventional,2015,Boise,64464.61
17,30/08/2015,1.19,conventional,2015,Boise,60099.83
18,23/08/2015,1.05,conventional,2015,Boise,70773.76
19,16/08/2015,1.12,conventional,2015,Boise,64001.61
20,9/08/2015,1.1,conventional,2015,Boise,61286.98
21,2/08/2015,1.07,conventional,2015,Boise,67763.91
22,26/07/2015,1.07,conventional,2015,Boise,67826.07
23,19/07/2015,1.09,conventional,2015,Boise,63958.04
24,12/07/2015,1.05,conventional,2015,Boise,74677.72
25,5/07/2015,1.15,conventional,2015,Boise,85044.45
26,28/06/2015,1.04,conventional,2015,Boise,75280.41
27,21/06/2015,1.06,conventional,2015,Boise,81397.07
28,14/06/2015,0.99,conventional,2015,Boise,87607.71
29,7/06/2015,1.12,conventional,2015,Boise,80751.29
30,31/05/2015,0.97,conventional,2015,Boise,76689.38
31,24/05/2015,1.03,conventional,2015,Boise,83209.77
32,17/05/2015,0.96,conventional,2015,Boise,77987.53
33,10/05/2015,1.06,conventional,2015,Boise,95788.53
34,3/05/2015,1,conventional,2015,Boise,85466.99
35,26/04/2015,0.96,conventional,2015,Boise,88111.17
36,19/04/2015,0.99,conventional,2015,Boise,89694.96
37,12/04/2015,1.19,conventional,2015,Boise,66246.3
38,5/04/2015,1.09,conventional,2015,Boise,76704.46
39,29/03/2015,0.98,conventional,2015,Boise,74543.98
40,22/03/2015,1.17,conventional,2015,Boise,61419.11
41,15/03/2015,1,conventional,2015,Boise,65918.28
42,8/03/2015,1.14,conventional,2015,Boise,65350.24
43,1/03/2015,1.06,conventional,2015,Boise,75046.37
44,22/02/2015,0.99,conventional,2015,Boise,76836.1
45,15/02/2015,1.14,conventional,2015,Boise,61221.98
46,8/02/2015,1.07,conventional,2015,Boise,69970.75
47,1/02/2015,0.91,conventional,2015,Boise,113578.24
48,25/01/2015,1.03,conventional,2015,Boise,66069.21
49,18/01/2015,1.08,conventional,2015,Boise,62870.49
50,11/01/2015,1.18,conventional,2015,Boise,57355.52
51,4/01/2015,1.01,conventional,2015,Boise,80034.32
0,27/12/2015,1.13,conventional,2015,Boston,450816.39
1,20/12/2015,1.07,conventional,2015,Boston,489802.88
2,13/12/2015,1.01,conventional,2015,Boston,549945.76
3,6/12/2015,1.02,conventional,2015,Boston,488679.31
4,29/11/2015,1.19,conventional,2015,Boston,350559.81
5,22/11/2015,1.07,conventional,2015,Boston,466759.99
6,15/11/2015,1.05,conventional,2015,Boston,513738.98
7,8/11/2015,1.04,conventional,2015,Boston,641759.57
8,1/11/2015,1.06,conventional,2015,Boston,553096.84
9,25/10/2015,1.02,conventional,2015,Boston,534249.47
10,18/10/2015,0.94,conventional,2015,Boston,725296.29
11,11/10/2015,1.14,conventional,2015,Boston,485706.68
12,4/10/2015,1.07,conventional,2015,Boston,536479.42
13,27/09/2015,1.07,conventional,2015,Boston,553307.04
14,20/09/2015,1.15,conventional,2015,Boston,498640.23
15,13/09/2015,1.03,conventional,2015,Boston,655682.95
16,6/09/2015,1.11,conventional,2015,Boston,577774.74
17,30/08/2015,1.13,conventional,2015,Boston,526664.87
18,23/08/2015,1.07,conventional,2015,Boston,589471.32
19,16/08/2015,1.15,conventional,2015,Boston,565795.06
20,9/08/2015,1.07,conventional,2015,Boston,690517.19
21,2/08/2015,1.17,conventional,2015,Boston,571994.5
22,26/07/2015,1.28,conventional,2015,Boston,500233.69
23,19/07/2015,1.18,conventional,2015,Boston,597168.12
24,12/07/2015,1.14,conventional,2015,Boston,634515.74
25,5/07/2015,1.27,conventional,2015,Boston,582909.73
26,28/06/2015,1.25,conventional,2015,Boston,560494.92
27,21/06/2015,1.24,conventional,2015,Boston,543504.66
28,14/06/2015,1.08,conventional,2015,Boston,684346.48
29,7/06/2015,1.25,conventional,2015,Boston,562542.86
30,31/05/2015,1.26,conventional,2015,Boston,565160.95
31,24/05/2015,1.14,conventional,2015,Boston,633521.98
32,17/05/2015,1.26,conventional,2015,Boston,534488.54
33,10/05/2015,1.14,conventional,2015,Boston,625558.14
